user_id,age,lead_status_score,payment_history_good,time_spent_min,pages_viewed,emails_sent,follow_up_emails,email_intensity,form_submissions,downloads,ctr_product_page,response_time_hours,social_media_engagement,engagement_score,is_mobile,is_tablet,is_desktop,is_organic_lead,is_email_lead,is_referral_lead,is_social_lead,converted_to_paid
61,38,0,1,41,5,1,10,11,2,0,0.6,1,87,144,1,0,0,1,0,0,0,0
62,25,2,0,43,10,7,2,9,2,0,0.8,14,53,122,0,1,0,0,1,0,0,0
63,34,1,0,40,12,10,4,14,0,2,0.7,7,131,199,1,0,0,0,0,0,1,0
64,26,2,0,57,5,10,8,18,0,2,0.8,3,24,95,0,1,0,0,0,0,1,0
65,44,1,1,43,11,9,10,19,3,3,0.1,5,129,209,1,0,0,0,0,1,0,0
66,37,0,1,47,3,9,2,11,3,0,0.3,19,90,152,0,1,0,0,0,0,1,0
67,49,0,0,39,14,4,6,10,5,2,0.7,5,140,226,0,0,1,0,0,1,0,0
68,60,0,0,43,10,8,5,13,1,2,0.4,22,103,173,0,0,1,0,0,1,0,0
69,43,0,0,59,2,7,10,17,5,1,0.3,21,170,250,1,0,0,0,1,0,0,0
70,30,0,0,6,10,10,2,12,0,1,0.7,15,58,86,1,0,0,1,0,0,0,0
71,43,1,1,28,2,4,8,12,0,0,0.1,14,184,216,0,1,0,0,0,1,0,0
72,42,1,1,46,6,9,0,9,3,0,0.5,7,58,125,0,1,0,0,0,0,1,0
73,33,1,1,15,8,3,7,10,1,1,0.5,3,48,84,1,0,0,1,0,0,0,0
74,37,2,0,11,14,5,0,5,5,2,0.4,19,82,140,0,1,0,0,0,1,0,0
75,24,0,1,26,3,7,8,15,5,0,0.7,17,177,224,0,1,0,0,1,0,0,0
76,58,2,0,13,11,10,8,18,3,1,0.7,8,181,227,1,0,0,0,0,1,0,0
77,60,0,0,28,12,5,1,6,2,2,0.7,22,113,175,1,0,0,0,0,1,0,0
78,30,1,1,51,11,6,2,8,0,1,0.7,10,144,219,1,0,0,1,0,0,0,0
79,54,1,0,35,2,0,5,5,1,2,0.5,7,70,116,1,0,0,0,0,1,0,0
80,35,2,1,59,7,5,5,10,1,3,0.5,5,56,138,0,1,0,1,0,0,0,0
81,30,2,1,23,13,8,0,8,5,1,0.7,2,89,155,0,1,0,0,0,0,1,0
82,49,2,1,12,12,2,8,10,2,1,0.2,9,130,174,0,1,0,1,0,0,0,0
83,44,2,0,44,2,0,9,9,0,2,0.7,23,107,159,0,1,0,1,0,0,0,0
84,37,0,0,16,7,2,8,10,2,3,0.4,1,123,165,1,0,0,0,0,1,0,0
85,60,2,0,14,5,1,2,3,4,2,0.5,16,26,66,1,0,0,0,0,1,0,0
86,55,1,1,55,14,9,1,10,1,2,0.5,14,100,190,0,0,1,0,0,0,1,0
87,34,0,0,54,13,9,3,12,2,2,0.3,9,194,284,0,0,1,0,0,1,0,0
88,40,1,1,42,8,5,10,15,1,1,0.8,23,86,149,1,0,0,0,1,0,0,0
89,23,2,0,10,8,1,3,4,4,3,0.1,21,88,132,0,0,1,1,0,0,0,0
90,34,2,0,25,6,10,0,10,5,2,0.6,7,185,241,0,1,0,0,1,0,0,0
91,22,0,0,17,4,2,10,12,2,0,0.4,6,109,140,0,1,0,0,0,1,0,0
92,40,1,0,55,9,7,4,11,1,1,0.3,5,92,170,0,0,1,0,0,1,0,0
93,45,1,0,22,13,9,8,17,5,0,0.1,15,80,143,0,1,0,1,0,0,0,0
94,37,2,0,45,9,2,10,12,0,3,0.3,1,48,117,0,0,1,0,1,0,0,0
95,24,1,0,32,6,3,9,12,0,1,0.4,23,161,207,0,1,0,0,0,0,1,0
96,33,1,1,10,15,7,8,15,4,0,0.4,8,99,151,1,0,0,0,0,1,0,0
97,56,0,1,44,12,5,6,11,0,1,0.8,19,131,201,0,0,1,0,0,0,1,0
98,40,0,1,10,4,0,7,7,3,3,0.1,10,164,197,0,1,0,0,0,0,1,0
99,33,1,0,43,3,5,8,13,3,2,0.6,23,53,115,0,0,1,0,1,0,0,0
100,51,0,1,55,15,8,6,14,4,1,0.3,2,133,232,0,1,0,0,0,1,0,0
101,45,0,0,39,7,5,5,10,5,3,0.5,20,192,266,0,0,1,0,1,0,0,0
102,49,0,1,58,12,4,0,4,1,1,0.3,20,70,157,0,0,1,1,0,0,0,0
103,29,2,1,33,4,1,8,9,3,0,0.4,21,29,79,0,1,0,1,0,0,0,0
104,36,1,1,38,15,1,4,5,2,0,0.2,13,198,272,0,1,0,0,1,0,0,0
105,28,1,0,34,4,4,2,6,3,1,0.3,4,94,147,0,0,1,0,0,0,1,0
106,35,2,1,26,11,3,8,11,5,1,0.2,9,32,97,1,0,0,0,1,0,0,0
107,55,0,0,40,11,1,7,8,4,3,0.6,20,195,275,1,0,0,0,1,0,0,0
108,54,2,0,13,7,3,6,9,3,1,0.3,6,145,183,0,0,1,0,0,0,1,0
109,36,0,1,56,9,5,10,15,4,1,0.2,20,111,199,1,0,0,0,0,0,1,0
110,57,1,0,33,4,4,8,12,2,1,0.6,5,170,219,0,0,1,0,1,0,0,0
111,47,1,0,17,3,2,10,12,0,0,0.4,17,29,52,0,0,1,0,0,1,0,0
112,57,2,1,26,14,7,9,16,3,3,0.7,19,164,233,0,1,0,0,0,0,1,0
113,45,0,0,48,8,6,0,6,5,0,0.3,16,134,213,0,1,0,0,0,1,0,0
114,43,0,0,31,2,4,4,8,0,0,0.2,12,134,169,0,1,0,1,0,0,0,0
115,34,1,1,16,3,5,4,9,5,0,0.4,9,100,137,0,1,0,1,0,0,0,0
116,28,0,0,18,10,0,3,3,4,0,0.1,22,103,153,0,1,0,1,0,0,0,0
117,52,2,1,16,2,7,3,10,5,2,0.1,4,168,207,0,1,0,0,0,1,0,0
118,51,1,1,29,4,1,5,6,0,3,0.2,6,75,118,0,0,1,0,1,0,0,0
119,25,0,1,12,3,4,3,7,2,2,0.5,21,200,228,0,1,0,0,0,0,1,0
120,23,0,1,7,3,1,8,9,5,0,0.5,21,68,96,0,1,0,1,0,0,0,0
121,27,1,1,5,10,10,1,11,2,0,0.7,13,97,128,0,1,0,0,0,1,0,0
122,29,2,1,16,12,4,7,11,4,1,0.4,4,127,181,0,1,0,0,0,0,1,0
123,60,0,0,35,3,9,4,13,4,3,0.3,20,44,103,1,0,0,0,0,0,1,0
124,30,0,1,59,5,3,4,7,2,2,0.6,7,45,124,0,0,1,0,1,0,0,0
125,47,2,0,7,7,2,10,12,5,3,0.3,20,159,201,1,0,0,0,0,0,1,0
126,58,1,0,17,6,5,9,14,2,1,0.6,21,91,128,0,1,0,0,1,0,0,0
127,24,1,0,12,13,8,0,8,4,0,0.5,17,50,100,0,1,0,0,1,0,0,0
128,44,1,1,49,10,7,0,7,4,0,0.4,20,77,158,0,0,1,0,0,1,0,0
129,44,2,1,24,14,2,2,4,3,3,0.1,2,67,134,0,0,1,0,0,0,1,0
130,58,1,1,53,4,6,7,13,4,2,0.2,23,64,141,0,1,0,0,0,1,0,0
131,49,2,1,24,12,6,6,12,2,0,0.6,13,198,252,0,1,0,0,0,0,1,0
132,53,1,0,52,5,5,5,10,4,3,0.4,15,151,231,0,0,1,1,0,0,0,0
133,36,0,0,15,13,5,3,8,3,1,0.2,3,96,148,0,1,0,0,0,0,1,0
134,55,1,0,27,15,6,9,15,2,1,0.6,3,162,227,0,0,1,0,1,0,0,0
135,20,1,1,53,15,9,1,10,3,2,0.8,5,100,196,1,0,0,0,0,1,0,0
136,27,0,0,50,8,4,0,4,5,1,0.2,15,59,142,0,0,1,0,0,1,0,0
137,54,1,0,12,13,8,4,12,2,2,0.7,1,22,70,0,1,0,0,0,1,0,0
138,37,1,0,8,5,0,7,7,2,3,0.4,15,139,169,0,1,0,0,0,0,1,0
139,41,2,1,52,2,10,6,16,3,1,0.8,9,28,95,0,0,1,0,0,1,0,0
140,27,1,1,12,12,4,7,11,2,2,0.7,13,171,217,0,1,0,1,0,0,0,0
141,38,0,1,48,3,2,10,12,4,0,0.3,21,48,114,0,1,0,1,0,0,0,0
142,47,0,0,60,14,4,3,7,2,2,0.2,4,156,254,0,1,0,0,0,0,1,0
143,30,0,1,10,11,9,7,16,1,2,0.2,23,90,129,1,0,0,0,1,0,0,0
144,49,1,0,7,8,2,6,8,1,2,0.3,4,56,86,1,0,0,0,0,0,1,0
145,20,2,1,57,6,9,0,9,1,2,0.2,22,178,254,0,1,0,1,0,0,0,0
146,36,2,1,43,4,9,4,13,2,2,0.2,17,43,104,0,0,1,0,0,1,0,0
147,52,2,1,53,15,5,8,13,4,1,0.3,13,30,127,0,1,0,0,0,1,0,0
148,31,1,0,5,7,2,1,3,5,3,0.5,10,110,150,0,1,0,0,0,1,0,0
149,52,0,0,54,11,0,4,4,3,3,0.2,2,193,284,0,1,0,0,0,0,1,0
150,26,0,0,5,10,0,9,9,2,2,0.8,16,150,185,1,0,0,1,0,0,0,0
151,60,1,1,60,5,3,3,6,5,3,0.5,4,39,130,1,0,0,0,0,0,1,0
152,39,1,1,28,14,8,1,9,3,0,0.3,20,193,258,0,1,0,0,0,1,0,0
153,60,2,0,18,11,1,4,5,4,2,0.6,6,117,173,0,0,1,0,1,0,0,0
154,52,2,1,45,6,7,9,16,3,3,0.5,15,156,228,0,1,0,0,0,1,0,0
155,58,2,1,33,4,8,5,13,4,3,0.5,7,20,79,0,0,1,0,0,0,1,0
156,32,0,1,8,9,0,5,5,1,0,0.5,18,109,138,0,0,1,0,0,0,1,0
157,29,2,1,56,9,10,4,14,3,3,0.6,10,106,195,0,1,0,1,0,0,0,0
158,43,0,0,47,14,5,9,14,1,3,0.3,8,149,233,0,1,0,1,0,0,0,0
159,30,0,0,52,7,9,6,15,5,0,0.4,9,118,199,0,1,0,0,1,0,0,0
160,54,0,0,41,8,10,1,11,2,2,0.5,17,166,233,0,1,0,0,0,1,0,0
161,53,1,0,37,5,10,2,12,2,2,0.7,10,108,165,0,1,0,0,1,0,0,0
162,20,2,0,47,13,0,9,9,3,0,0.8,14,73,155,0,0,1,1,0,0,0,0
163,58,0,1,29,9,1,7,8,5,3,0.8,3,60,128,0,0,1,0,0,1,0,0
164,40,2,1,48,7,5,1,6,1,3,0.7,1,127,198,1,0,0,1,0,0,0,0
165,51,0,1,47,6,8,9,17,2,1,0.6,15,168,235,1,0,0,0,0,0,1,0
166,21,2,0,12,2,2,1,3,0,0,0.7,14,186,202,0,1,0,1,0,0,0,0
167,27,0,0,54,8,7,3,10,3,3,0.1,12,44,129,0,0,1,0,0,0,1,0
168,43,1,0,35,10,8,9,17,4,3,0.7,2,119,192,1,0,0,0,0,1,0,0
169,39,0,1,13,4,5,0,5,4,3,0.4,1,46,85,0,1,0,1,0,0,0,0
170,35,0,1,50,6,4,6,10,2,3,0.4,2,143,217,1,0,0,1,0,0,0,0
171,23,1,1,43,8,9,10,19,2,2,0.7,22,179,248,0,0,1,1,0,0,0,0
172,35,1,1,16,5,9,7,16,3,0,0.3,23,110,145,1,0,0,1,0,0,0,0
173,56,0,0,54,6,2,10,12,5,2,0.5,1,152,237,1,0,0,0,0,0,1,0
174,25,0,0,39,7,10,6,16,0,0,0.4,3,31,84,1,0,0,0,1,0,0,0
175,25,2,1,38,6,6,6,12,5,1,0.7,4,104,171,0,1,0,0,1,0,0,0
176,51,2,0,18,7,4,1,5,5,3,0.5,1,166,219,0,1,0,1,0,0,0,0
177,24,2,0,13,8,5,3,8,4,3,0.7,3,89,136,1,0,0,0,1,0,0,0
178,54,1,0,13,7,2,3,5,1,1,0.3,16,137,169,1,0,0,0,1,0,0,0
179,28,1,1,46,15,2,0,2,1,2,0.3,20,193,276,0,0,1,1,0,0,0,0
180,28,0,1,42,15,5,8,13,3,0,0.7,9,27,108,1,0,0,1,0,0,0,0
181,50,1,1,38,3,6,0,6,3,3,0.7,2,95,154,0,0,1,0,1,0,0,0
182,55,2,0,20,6,10,4,14,1,2,0.5,2,193,232,0,0,1,0,0,1,0,0
183,30,2,1,53,8,0,1,1,3,2,0.1,22,101,183,0,1,0,0,1,0,0,0
184,36,0,1,36,10,4,9,13,4,1,0.1,12,191,261,0,1,0,0,0,1,0,0
185,53,2,0,23,4,2,0,2,2,1,0.5,5,93,132,0,0,1,0,1,0,0,0
186,58,0,1,31,11,5,10,15,3,1,0.4,22,70,134,1,0,0,0,1,0,0,0
187,47,0,0,9,10,1,4,5,2,3,0.1,3,87,128,0,0,1,0,0,0,1,0
188,33,0,0,16,10,0,7,7,0,1,0.6,24,95,133,0,1,0,0,0,1,0,0
189,54,2,1,15,8,6,7,13,0,3,0.3,24,63,100,0,0,1,0,0,0,1,0
190,32,1,0,6,7,1,10,11,0,2,0.5,12,67,91,0,1,0,0,0,1,0,0
191,39,2,0,34,10,0,5,5,1,0,0.8,18,160,217,1,0,0,0,0,1,0,0
192,45,0,1,8,7,10,5,15,0,2,0.4,3,93,119,0,0,1,0,0,0,1,0
193,43,1,1,33,13,4,7,11,5,2,0.5,9,25,103,1,0,0,1,0,0,0,0
194,48,2,1,18,5,1,0,1,1,0,0.7,2,26,57,0,1,0,0,1,0,0,0
195,53,1,0,9,5,2,7,9,5,2,0.2,23,195,233,0,0,1,0,0,0,1,0
196,48,1,0,44,13,5,2,7,0,1,0.4,3,145,217,1,0,0,0,0,0,1,0
197,27,0,1,36,6,0,9,9,5,3,0.5,10,191,260,0,0,1,0,0,0,1,0
198,35,2,0,9,6,8,9,17,0,0,0.3,3,106,127,1,0,0,0,0,1,0,0
199,34,0,0,35,13,5,3,8,5,2,0.6,3,123,203,1,0,0,0,1,0,0,0
200,24,1,0,25,12,6,8,14,3,0,0.3,10,197,255,0,1,0,0,0,0,1,0
201,41,1,1,50,3,0,6,6,3,2,0.2,22,188,257,0,0,1,0,0,0,1,0
202,21,0,0,34,4,3,2,5,0,0,0.5,12,135,177,0,1,0,1,0,0,0,0
203,57,2,0,30,7,8,3,11,3,1,0.6,15,155,210,0,0,1,1,0,0,0,0
204,55,2,0,16,9,10,9,19,0,0,0.1,24,131,165,0,0,1,0,0,0,1,0
205,34,2,1,37,9,3,1,4,2,0,0.4,15,126,187,0,0,1,0,0,1,0,0
206,57,0,1,18,11,8,5,13,2,0,0.7,4,32,78,0,1,0,0,0,1,0,0
207,34,0,1,33,3,4,2,6,4,2,0.5,15,128,183,0,0,1,0,0,0,1,0
208,20,2,1,43,3,7,3,10,2,1,0.8,12,21,78,0,1,0,1,0,0,0,0
209,24,0,1,60,11,5,2,7,2,3,0.3,20,20,114,0,0,1,0,0,0,1,0
210,60,1,1,29,13,9,5,14,4,3,0.8,5,76,149,1,0,0,1,0,0,0,0
211,23,2,1,36,11,4,3,7,5,3,0.3,7,135,214,1,0,0,0,0,1,0,0
212,34,0,0,28,14,3,3,6,1,0,0.8,11,85,144,0,1,0,0,0,1,0,0
213,24,2,1,29,5,1,4,5,5,0,0.3,21,98,152,1,0,0,0,0,0,1,0
214,22,0,1,30,9,0,7,7,1,3,0.4,20,20,77,0,0,1,0,0,1,0,0
215,41,2,0,19,13,0,1,1,1,0,0.5,19,54,102,0,1,0,0,0,0,1,0
216,24,2,0,49,2,3,3,6,2,2,0.4,4,120,183,0,1,0,0,0,1,0,0
217,52,2,1,34,10,0,9,9,5,0,0.6,23,120,189,0,0,1,0,1,0,0,0
218,35,0,0,30,12,2,10,12,4,2,0.8,21,30,100,0,1,0,0,1,0,0,0
219,37,0,1,20,8,5,10,15,5,0,0.7,16,102,153,0,1,0,0,1,0,0,0
220,51,0,1,52,15,5,8,13,2,3,0.5,12,51,145,0,1,0,0,0,0,1,0
221,33,1,1,59,6,0,3,3,0,0,0.6,9,147,218,0,1,0,0,0,0,1,0
222,54,2,0,33,12,2,10,12,1,0,0.3,5,113,173,1,0,0,0,1,0,0,0
223,28,1,0,17,2,2,9,11,0,0,0.5,7,102,123,0,1,0,0,0,0,1,0
224,56,0,0,54,4,8,2,10,2,3,0.7,12,63,137,0,0,1,0,0,0,1,0
225,56,2,1,17,13,10,8,18,5,3,0.2,2,127,191,0,1,0,0,0,0,1,0
226,50,2,1,60,14,6,2,8,0,3,0.5,13,106,200,1,0,0,0,0,0,1,0
227,35,0,0,56,7,8,5,13,1,3,0.6,11,80,159,0,0,1,1,0,0,0,0
228,50,1,0,59,11,4,4,8,0,0,0.7,15,47,128,0,0,1,0,1,0,0,0
229,46,0,1,26,9,4,6,10,2,2,0.1,22,185,239,1,0,0,0,0,0,1,0
230,32,2,1,21,15,7,2,9,2,3,0.8,24,67,130,1,0,0,0,0,1,0,0
231,26,0,1,34,9,0,4,4,3,0,0.6,12,54,115,0,1,0,1,0,0,0,0
232,26,2,1,14,15,5,6,11,3,3,0.3,21,40,99,0,0,1,0,0,0,1,0
233,47,2,1,53,2,8,1,9,2,2,0.5,3,50,117,0,0,1,1,0,0,0,0
234,42,0,1,52,8,0,7,7,1,2,0.5,1,130,205,0,1,0,0,0,1,0,0
235,47,0,1,22,7,3,8,11,4,3,0.2,9,62,116,0,0,1,0,1,0,0,0
236,46,0,1,6,2,5,5,10,1,2,0.3,4,24,41,0,0,1,0,1,0,0,0
237,49,1,0,9,10,8,2,10,2,1,0.3,6,31,68,1,0,0,0,0,1,0,0
238,23,2,1,38,7,7,8,15,5,3,0.7,18,48,121,1,0,0,1,0,0,0,0
239,26,2,0,43,11,0,9,9,4,1,0.1,14,103,182,0,1,0,0,0,1,0,0
240,23,2,0,9,12,7,6,13,4,0,0.3,11,159,204,0,0,1,0,0,0,1,0
241,45,0,0,28,14,2,8,10,0,3,0.3,21,113,175,0,0,1,0,0,1,0,0
242,41,1,1,44,15,9,9,18,2,3,0.2,18,100,186,1,0,0,0,0,0,1,0
243,26,0,0,50,15,0,4,4,4,3,0.2,23,70,168,1,0,0,0,0,0,1,0
244,35,0,1,44,10,0,0,0,4,1,0.2,24,153,231,0,0,1,0,0,1,0,0
245,32,0,0,11,13,8,8,16,4,0,0.2,3,185,234,0,1,0,0,0,0,1,0
246,32,0,0,5,7,10,7,17,3,0,0.4,11,131,159,0,0,1,0,1,0,0,0
247,54,0,0,40,12,7,9,16,2,2,0.5,2,184,258,1,0,0,0,1,0,0,0
248,48,1,0,48,11,9,5,14,1,2,0.3,10,92,169,0,0,1,0,1,0,0,0
249,28,2,1,26,6,8,8,16,1,2,0.4,18,21,66,0,0,1,0,1,0,0,0
250,47,1,0,31,3,10,6,16,2,1,0.1,21,188,233,0,1,0,0,1,0,0,0
251,31,2,1,52,10,5,3,8,1,1,0.7,10,67,144,0,1,0,0,1,0,0,0
252,37,1,1,52,3,8,3,11,1,3,0.7,11,151,218,0,1,0,0,1,0,0,0
253,49,2,0,45,6,10,7,17,4,3,0.7,4,120,195,1,0,0,0,1,0,0,0
254,35,0,0,39,13,3,8,11,4,0,0.7,19,158,235,1,0,0,1,0,0,0,0
255,24,0,1,54,7,5,6,11,0,0,0.5,18,160,228,0,0,1,0,1,0,0,0
256,48,2,1,38,4,0,3,3,0,1,0.7,24,22,70,0,1,0,0,0,1,0,0
257,55,2,0,29,9,5,1,6,1,1,0.4,15,173,225,0,0,1,1,0,0,0,0
258,26,2,1,12,5,1,9,10,1,1,0.7,24,79,106,0,1,0,1,0,0,0,0
259,23,2,0,26,13,9,0,9,5,2,0.8,10,86,157,0,0,1,0,0,1,0,0
260,54,2,0,58,3,1,2,3,2,2,0.2,19,69,143,0,1,0,0,1,0,0,0
261,20,2,1,28,10,5,9,14,4,2,0.7,8,100,164,0,1,0,0,0,1,0,0
262,25,0,1,28,4,0,1,1,4,1,0.6,6,66,116,1,0,0,0,0,0,1,0
263,35,0,1,55,13,4,8,12,3,0,0.5,13,106,196,0,1,0,1,0,0,0,0
264,30,1,1,17,12,9,1,10,3,2,0.8,18,78,132,0,1,0,0,1,0,0,0
265,46,2,1,25,6,5,5,10,0,2,0.1,23,87,128,0,0,1,1,0,0,0,0
266,51,2,1,9,5,9,0,9,5,1,0.2,21,126,162,0,1,0,0,0,0,1,0
267,50,1,1,52,10,1,0,1,4,0,0.4,1,42,126,0,1,0,0,0,0,1,0
268,33,2,1,20,5,3,5,8,4,1,0.4,20,87,131,1,0,0,0,0,1,0,0
269,45,1,1,25,12,0,0,0,1,0,0.2,6,122,174,0,1,0,0,1,0,0,0
270,23,2,1,48,6,9,9,18,1,2,0.7,2,100,167,0,0,1,0,0,0,1,0
271,30,2,0,51,7,10,6,16,1,2,0.6,6,66,138,0,1,0,0,0,1,0,0
272,44,1,0,41,14,6,4,10,4,3,0.2,1,151,238,0,1,0,0,0,1,0,0
273,20,2,1,15,6,2,4,6,4,1,0.3,11,195,236,1,0,0,1,0,0,0,0
274,44,1,1,60,4,9,9,18,5,0,0.3,24,104,187,0,0,1,0,0,1,0,0
275,36,1,0,8,3,2,0,2,1,1,0.2,22,150,169,1,0,0,0,0,1,0,0
276,49,2,0,34,3,3,4,7,3,0,0.3,13,42,91,0,1,0,0,0,1,0,0
277,38,2,1,30,8,4,4,8,1,2,0.8,23,46,99,0,0,1,0,0,1,0,0
278,47,1,1,31,6,9,1,10,5,1,0.3,16,31,91,0,1,0,0,0,1,0,0
279,55,2,1,36,6,7,6,13,0,0,0.6,20,53,101,0,0,1,0,0,1,0,0
280,51,2,0,43,8,4,8,12,0,0,0.4,1,77,136,0,1,0,0,0,0,1,0
281,29,0,0,38,10,9,9,18,2,0,0.1,20,39,103,0,0,1,0,1,0,0,0
282,32,1,1,49,3,1,4,5,5,3,0.2,19,30,106,1,0,0,0,0,0,1,0
283,38,2,1,38,15,3,9,12,3,0,0.6,5,125,202,1,0,0,1,0,0,0,0
284,33,2,1,44,12,5,2,7,4,2,0.7,9,49,133,1,0,0,0,1,0,0,0
285,23,2,0,42,8,7,6,13,1,1,0.1,15,41,104,0,0,1,0,0,1,0,0
